Building,Floor,Section,Status,Completion Percent,Expected Assets,Found Assets,Tagged Assets,Last Updated,Notes
500,1,CPC 1,Not Started,0,,,,,
500,1,CPC 2,Not Started,0,,,,,
500,1,CPC 3,Not Started,0,,,,,
500,1,Emergency,Not Started,0,,,,,
500,1,Imaging / X-Ray,Not Started,0,,,,,
500,1,Women's Clinic,Not Started,0,,,,,
500,1,Orthopedics,Not Started,0,,,,,
500,1,Physical Medicine & Rehabilitation,Not Started,0,,,,,
500,1,Nuclear Medicine,Not Started,0,,,,,
500,1,Prosthetics,Not Started,0,,,,,
500,1,Outpatient Pharmacy,Not Started,0,,,,,
500,1,Audiology & Speech Pathology,Not Started,0,,,,,
500,1,Pain Clinic,Not Started,0,,,,,
500,1,Canteen,Not Started,0,,,,,
500,1,Police,Not Started,0,,,,,
500,2,GI Suite,Not Started,0,,,,,
500,2,Operating Room / Surgery,Not Started,0,,,,,
500,2,PACU,Not Started,0,,,,,
500,2,Recovery / Same Day Surgery,Not Started,0,,,,,
500,2,Surgical / Vascular Clinics & Wound Care,Not Started,0,,,,,
500,2,Chapel,Not Started,0,,,,,
500,2,Lab Services,Not Started,0,,,,,
500,2,Inpatient Dental,Not Started,0,,,,,
500,2,Urology & Podiatry,Not Started,0,,,,,
500,2,Eye Clinic,Not Started,0,,,,,
500,2,Occupational Health & Special Exams,Not Started,0,,,,,
500,2,Post 9/11 Military2VA Clinic,Not Started,0,,,,,
500,2,Library,Not Started,0,,,,,
